learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),Exact Match,Accuracy,Hamming Score,Precision,Recall,F-Measure,model training instances,model serialized size (bytes),anomaly detections,change detections,rules (number),Avg #inputs/rule,Avg #outputs/rule,Attribute0,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22,Attribute23,Attribute24,Attribute25,Attribute26,Attribute27,Attribute28,Attribute29,Attribute30,Attribute31,Attribute32,Attribute33,Attribute34,Attribute35,Attribute36,Attribute37,Attribute38,Attribute39,Attribute40,Attribute41,Attribute42,Attribute43,Attribute44,Attribute45,Attribute46,Attribute47,Attribute48,Attribute49,Attribute50,Attribute51
550.0,0.34375,1.212352718640533E-7,0.4098360655737705,0.492865816636309,0.8084395871281105,0.5704614450516093,0.4517304189435337,0.5486776429399384,550.0,1383976.0,0.0,0.0,1.0,52.0,6.0,0.018211295291277074,0.012176241771431747,0.007311524881211988,0.046253980214978396,0.014205981880977622,0.012523720057575571,0.015030511408835582,0.014067661663864231,0.0339029590721302,0.02263114160404515,0.03822510628378639,0.020076400538323196,0.0060419440728180325,0.025965190957002355,0.012021812358283812,0.036874533240172126,0.015542322160700228,0.011576916460789047,0.007638556960756234,0.01749257221839619,0.017742591687018694,0.03342862740582536,0.017641004985937164,0.014475711800756982,0.019086677876521057,0.012302191026179058,0.03711285509003559,0.025130737514415358,0.010871944705712308,0.018506912454260043,0.0127633043002372,0.01376180300176181,0.007812549701379234,0.008251178125783668,0.013941208775180902,0.02018884307947914,0.008554023298695979,0.011725784276378715,0.007992457278173234,0.009906525711758355,0.009429940596672534,0.011172704632384697,0.007183863076629419,0.009879435700455444,0.005985084337838786,0.004241485653522059,0.011754418272565717,0.011534554336856129,0.013723614002419726,0.01529072452682543,0.005220127845021442,0.006630092407678183
600.0,0.390625,1.3803565202073922E-7,0.4257095158597663,0.5049805230940461,0.8171953255425692,0.5804674457429051,0.4590984974958264,0.5589726263348975,600.0,1385416.0,0.0,0.0,1.0,52.0,6.0,0.016725602752668527,0.01893288843853963,0.009325051742861431,0.03965101799732418,0.014339850692470013,0.012236616846069729,0.015623365985875048,0.013020362072324246,0.027195505088643435,0.024423617497646877,0.03403596665786477,0.018143422114464885,0.005675947228412526,0.027083865820512476,0.011761656192854705,0.035991814415448485,0.016174090686335425,0.012747043084509524,0.008157662902217588,0.01910197079181203,0.01955982624477483,0.03860042614807535,0.01822655775922627,0.013026695600451851,0.020556249302754848,0.012282120125518678,0.036608085571691075,0.029366469126920702,0.011136937479291398,0.01610327522552324,0.010098633199212078,0.010065139789289449,0.007190947791589723,0.005279504450108459,0.013204949630470733,0.018562672386502093,0.009694537769703878,0.011131821504507367,0.00876868804676928,0.009284568070819843,0.006919078766707165,0.01247097989815484,0.00974694430804444,0.007473481936694744,0.00551254436831287,0.0032265556818311483,0.01740843579863092,0.009113158340724533,0.015071468673357957,0.015979717212582494,0.0043630959188279235,0.00931238389812411
650.0,0.421875,1.4924366647998495E-7,0.43297380585516176,0.5132511556240374,0.8207498715973274,0.5904468412942991,0.4622496147919877,0.5674675435846478,650.0,1386376.0,0.0,0.0,1.0,52.0,6.0,0.015561643855154203,0.017025581320316934,0.010193081050852018,0.03812385156351424,0.010945381371455565,0.009526091356022837,0.015618287388972807,0.012952121728129854,0.02623166852024948,0.025172089497821182,0.033435013635633705,0.01598967482723107,0.0069831042168127895,0.023513620193336415,0.01430500239162541,0.03258803011159289,0.01673577754136178,0.013051916889505355,0.007221966305173762,0.018115036282737362,0.021763616809666025,0.03733354251439869,0.01906450473500339,0.016460578515219298,0.024714739668849572,0.01211228261748202,0.034924868072730764,0.034002355857830756,0.013957569835277739,0.017706845056675025,0.010065868091423624,0.009649309097435055,0.006167767086405596,0.004923024018047987,0.011189708326805973,0.017517020637722813,0.0072549767074862785,0.009506417995231184,0.00936263495112257,0.007658654396015078,0.005372937482143292,0.010775140898057515,0.010519918997760114,0.005348837643002184,0.005626434567968038,0.0031765819785369667,0.01430899455070835,0.006368871140200664,0.012635577546987334,0.017296753372689027,0.0056528767730800915,0.009075731717702392
700.0,0.453125,1.604613822160496E-7,0.4406294706723891,0.5256318550309972,0.8245112064854538,0.6041010968049597,0.47067238912732473,0.5797112758486159,700.0,1387576.0,0.0,0.0,1.0,52.0,6.0,0.014557520788709108,0.01575425994979059,0.009005862552738109,0.03188170416899091,0.012839626862960233,0.007382594702414073,0.016553073311827832,0.012508058116854884,0.021654118706819752,0.024271504229197383,0.03159760330385347,0.014399992005457626,0.008430662790137267,0.022471394741343537,0.016714844919696048,0.03407637166553364,0.01751543451952246,0.014199553857226913,0.006779322715310787,0.017460293394757038,0.016995601901221957,0.03721552602680025,0.018826830742576794,0.017762572478210264,0.021103031462283723,0.012942586772714112,0.03622147990679266,0.03269560424010213,0.015454330435583252,0.01767755386536572,0.010098333733583134,0.010015517676660849,0.007004541479131136,0.004897656152705598,0.009418880373349056,0.017672623100272473,0.00713954031829267,0.009385219251593377,0.00754732597559928,0.007553113431195764,0.006794784523931489,0.010257797201305449,0.011254684411323787,0.0039667149812536535,0.006256734939966664,0.0033497438478691612,0.01271135286807997,0.007777834382215354,0.012464470296759567,0.015594225940814943,0.005527175224090741,0.010582293002260879
750.0,0.484375,1.7168297846284182E-7,0.4539385847797063,0.5331108144192261,0.83066310636404,0.6091677792612374,0.4779706275033378,0.5861194435293244,750.0,1388056.0,0.0,0.0,1.0,52.0,6.0,0.01360804016214425,0.015051159621726632,0.008856661504658506,0.03143407397142959,0.012156853055794115,0.008938523538222054,0.012876580933759615,0.011401316280710136,0.02495948561588564,0.02452587689273274,0.03076896443616663,0.016715065890112697,0.009344873899047257,0.018186121376952784,0.014199924589889537,0.0302969280463893,0.01601598018714188,0.01342712863408052,0.006092822447928377,0.01854998815322036,0.01822093944749646,0.036263763976290886,0.021480305817233758,0.018340526746546276,0.02025096195069866,0.013987824206108538,0.036480236297808055,0.029760096508287204,0.01756562975532085,0.018576819985363757,0.012520694726782374,0.00823461880396533,0.009388482018901264,0.005054014887609297,0.010698987129588111,0.019057238829579954,0.00823878279045622,0.008298843159923816,0.007338932049848923,0.00802263483857348,0.0067248168602578135,0.012071396759367211,0.010763685876068149,0.004148916873383072,0.004967009503479576,0.0044519885438937075,0.011279984514054245,0.008637102155768461,0.012226278849891692,0.013362428564120917,0.00819011582872059,0.01183093840504231
800.0,0.515625,1.8290457470963404E-7,0.4593241551939925,0.5357321652065085,0.8335419274092609,0.6131622861910724,0.47684605757196497,0.5888164679153429,800.0,1388056.0,0.0,0.0,1.0,52.0,6.0,0.013692879897402513,0.013411037461207384,0.009116180848405911,0.029128337567929614,0.0134988031751662,0.00810969515898106,0.01305653463163862,0.01029451370804694,0.02692143788049865,0.026541066062586976,0.027245862903779932,0.016607077573584428,0.00958012449481425,0.0174322340075679,0.014703398717504368,0.03060618803522913,0.015165493509891251,0.015799223069084583,0.006845770556605087,0.022249106959547627,0.020248267110744084,0.03592162195488998,0.021522574396134087,0.01664015810277734,0.020425057456503488,0.01479052221753204,0.03405746501396104,0.028430665581572572,0.01696609644553228,0.01824618008998095,0.011080749203039272,0.006865766512730668,0.008127765750255015,0.0056900418069942464,0.011506934088945986,0.019718685028801624,0.006916008014313135,0.008784835269492289,0.006640523600234964,0.009073831425204867,0.005656414187902452,0.013292899531206048,0.012428350042571756,0.004367859750024572,0.005459021859068806,0.004468822566757125,0.011286194088916068,0.008347605748619905,0.011751958993780695,0.00878593274689815,0.007150160404960619,0.009630810610320431
850.0,0.53125,1.8851731308839391E-7,0.4711425206124853,0.5396937573616022,0.8384373773066346,0.6172163329407148,0.4793875147232038,0.5920807434941726,850.0,1388536.0,0.0,0.0,1.0,52.0,6.0,0.013425422815088591,0.012833182794516026,0.00894798990181539,0.02758350603623531,0.013530724544447795,0.00797227780339275,0.012882736654771224,0.012183248367496402,0.02829620372350274,0.02781350150607087,0.025530558168079698,0.01643566034704358,0.008477807868515708,0.016757648586147145,0.014931835898047604,0.02968704179669705,0.014244138949543147,0.014041193532218462,0.007799190673366985,0.022651968562989344,0.01969659432694835,0.029140417583992866,0.019366993976921987,0.016577476815942144,0.01987077219823565,0.015540690188175924,0.03348551305224299,0.027210515895253844,0.017376534241077452,0.01688372468127186,0.010181316136333773,0.005998374074759967,0.008076512370216579,0.005686654374182513,0.011654434335344854,0.02009363151658659,0.00883159205523093,0.007869263138871522,0.005706712971659052,0.00864330228053343,0.004653294001695433,0.012958500754073824,0.01309007774181542,0.0051307365591035286,0.0039057316566907065,0.005010122792029041,0.011948894434866556,0.008119381590016924,0.012857332244136413,0.009366261074708282,0.00939988359167602,0.009662715971089642
900.0,0.5625,1.9974473010127747E-7,0.4827586206896552,0.5441601779755287,0.8433444568038557,0.620152020763812,0.4838709677419355,0.5953177893667341,900.0,1388776.0,0.0,0.0,1.0,52.0,6.0,0.010793301379474984,0.015443677415423296,0.008196089248023638,0.030888864504279006,0.01266415959446269,0.009568579048599387,0.016026753495090935,0.013080415615056703,0.02841880284760721,0.025232154337800922,0.026660347747766433,0.01449133895884173,0.010080532678801879,0.01686813491312918,0.01378277389898038,0.02707660802508845,0.014763947982663561,0.017850744390037032,0.008903260718497563,0.021190683289767864,0.02242646968364938,0.026835461577035997,0.019755805254470665,0.017722419226817093,0.021699830821666172,0.013072307328207819,0.031115249805123053,0.027075637876132836,0.016238462899670885,0.017020252709003165,0.007759822950097102,0.006138054086296714,0.008398833374739956,0.004814276574627093,0.011678074921957235,0.016302562796027282,0.007500431000673565,0.0058044669012056365,0.005695641150508875,0.008615132618494337,0.004140951303563049,0.01102299287842686,0.012653352831515382,0.006046786494227185,0.004087987368504705,0.0051096699030474535,0.012757071278952184,0.006603369085162421,0.011104133057320628,0.0070457149205597576,0.00921061566628519,0.012851633357417994
950.0,0.59375,2.1097214711416103E-7,0.48893572181243417,0.5501931858096244,0.8475588338602039,0.6265542676501584,0.4857744994731296,0.6010094927903156,950.0,1388776.0,0.0,0.0,1.0,52.0,6.0,0.010738438646748597,0.01247171524835731,0.00856491841981527,0.0295765050478759,0.014010022169684444,0.009122189962820382,0.01763265967760282,0.013936266174199666,0.02534568105615113,0.023653793532761997,0.024667693108873328,0.013443961537639973,0.010319851033236219,0.012728972642176947,0.01822464505483662,0.030664366156932982,0.013435573457143487,0.01637433680607266,0.008297683340724763,0.018065193327756673,0.022992400639802364,0.027210848162168066,0.019578680770550156,0.019010116607188304,0.021228622426985238,0.012848681386320357,0.03087701926268808,0.025345305754187104,0.01845111975686259,0.018556285013932545,0.008215558743423149,0.005848332344328984,0.006120142645984983,0.005028124394923801,0.012026304256277265,0.01637529484650674,0.0071214885550868745,0.005947561356445474,0.005878997866907321,0.007639228464398258,0.003965823954594698,0.011063967888485848,0.012410443805198809,0.006717682855628866,0.003999805444942421,0.00570994990068278,0.012242412474682884,0.005204991550359768,0.010473265278588273,0.00700347973532935,0.008835967882900364,0.01238309840162427
1000.0,0.625,2.221995641270446E-7,0.5015015015015015,0.5499165832499168,0.852018685352019,0.6245578912245583,0.4874874874874875,0.5991133991133997,1000.0,1388776.0,0.0,0.0,1.0,52.0,6.0,0.012320540080321926,0.013126277155380691,0.009261563285446103,0.029191748318089794,0.012008596404878688,0.008805935712530003,0.017393175854552467,0.01508052239561545,0.025893118076003713,0.02354782053837301,0.024575441586202285,0.01193849916262065,0.010287348202255483,0.01384357049467938,0.018184898047698867,0.027632207568794975,0.01427306491216701,0.01925424776389839,0.00910987972519145,0.017756342639266547,0.02683090398529825,0.025195056473161708,0.019227305023239476,0.01864128241455402,0.018952027627801387,0.015057084854437,0.030876506851660584,0.02496221002490408,0.021376886225794183,0.01877705216397152,0.008269605316386616,0.005194217081368542,0.006612537148753983,0.004841517363458762,0.010930589649129166,0.017758138728786104,0.005669580714849613,0.006621596650626671,0.005870998060600485,0.006831756455409899,0.004556156328700212,0.010127031806885603,0.012254997138834156,0.006092638945720856,0.004606968912892991,0.005937021404170591,0.011243305050650668,0.0053560703433668255,0.009311087929540015,0.0064270971844166596,0.009112727607717308,0.010858996427835776
